Job	Age	f_medincome	f_numprofiles	m_medincome	m_numprofiles	
construction / craftsmanship	36			60000	35	
construction / craftsmanship	37			50000	26	
construction / craftsmanship	38	55000	5	70000	28	
construction / craftsmanship	39			50000	19	
construction / craftsmanship	40			65000	18	
construction / craftsmanship	41	80000	2	50000	20	
construction / craftsmanship	42			60000	21	
construction / craftsmanship	43	85000	3	75000	17	
construction / craftsmanship	44			40000	9	
construction / craftsmanship	45	20000	1	90000	20	
construction / craftsmanship	46	60000	2	80000	23	
construction / craftsmanship	47			80000	16	
construction / craftsmanship	48			65000	18	
construction / craftsmanship	49			70000	8	
construction / craftsmanship	50			50000	13	
construction / craftsmanship	51			80000	12	
construction / craftsmanship	52			80000	11	
construction / craftsmanship	53			100000	6	
construction / craftsmanship	54			100000	12	
construction / craftsmanship	55			55000	12	
construction / craftsmanship	56			150000	6	
construction / craftsmanship	57			30000	7	
construction / craftsmanship	58	80000	2	60000	6	
construction / craftsmanship	59	70000	1	70000	6	
construction / craftsmanship	60			70000	4	
construction / craftsmanship	61			50000	6	
construction / craftsmanship	62			20000	5	
construction / craftsmanship	63			100000	3	
construction / craftsmanship	64			100000	2	
construction / craftsmanship	65	80000	1	70000	2	
construction / craftsmanship	66			70000	1	
construction / craftsmanship	68			40000	3	
construction / craftsmanship	69			80000	1	
education / academia	19	30000	5			
education / academia	20	20000	9	20000	5	
education / academia	21	20000	13	20000	7	
education / academia	22	20000	29	20000	26	
education / academia	23	25000	61	20000	47	
education / academia	24	20000	88	30000	65	
education / academia	25	20000	101	35000	73	
education / academia	26	30000	97	30000	99	
education / academia	27	40000	120	30000	79	
education / academia	28	40000	113	30000	77	
education / academia	29	40000	135	40000	93	
education / academia	30	40000	132	40000	80	
education / academia	31	50000	103	45000	77	
education / academia	32	50000	114	50000	62	
education / academia	33	50000	100	40000	39	
education / academia	34	50000	84	50000	45	
education / academia	35	50000	75	60000	33	
education / academia	36	50000	65	60000	29	
education / academia	37	60000	58	50000	37	
education / academia	38	50000	40	50000	37	
education / academia	39	50000	48	60000	28	
education / academia	40	50000	46	50000	28	
education / academia	41	70000	41	60000	17	
education / academia	42	45000	48	65000	35	
education / academia	43	40000	34	60000	26	
education / academia	44	75000	40	50000	26	
education / academia	45	40000	25	50000	18	
education / academia	46	60000	25	70000	12	
education / academia	47	50000	21	80000	23	
education / academia	48	50000	24	60000	16	
education / academia	49	45000	19	75000	15	
education / academia	50	65000	18	85000	12	
education / academia	51	40000	17	75000	10	
education / academia	52	70000	29	80000	12	
education / academia	53	70000	14	50000	5	
education / academia	54	50000	11	50000	9	
education / academia	55	40000	19			
education / academia	56	100000	17	80000	6	
education / academia	57			50000	6	
education / academia	58	70000	14	60000	2	
education / academia	59			60000	5	
education / academia	60	60000	18	40000	10	
education / academia	61	50000	14			
education / academia	62	70000	8			
education / academia	63			80000	3	
education / academia	64	80000	6	45000	3	
education / academia	65	50000	6			
education / academia	66	80000	9			
education / academia	67	55000	5			
education / academia	68	55000	6	70000	3	
entertainment / media	18	40000	3	100000	3	
entertainment / media	19	20000	4			
entertainment / media	20	20000	6	20000	10	
entertainment / media	21	20000	10	20000	20	
entertainment / media	22	20000	21	20000	37	
entertainment / media	23	20000	23	20000	51	
entertainment / media	24	20000	34	30000	77	
entertainment / media	25	30000	35	30000	89	
entertainment / media	26	20000	48	35000	105	
entertainment / media	27	40000	43	50000	115	
entertainment / media	28	40000	35	70000	94	
entertainment / media	29	40000	40	55000	111	
entertainment / media	30	60000	34	60000	94	
entertainment / media	31	45000	38	40000	75	
entertainment / media	32	70000	36	80000	86	
entertainment / media	33			80000	62	
entertainment / media	34	75000	27	55000	54	
entertainment / media	35	70000	19	60000	57	
entertainment / media	36	50000	30	80000	40	
entertainment / media	37	90000	14	70000	47	
entertainment / media	38	75000	16	100000	46	
entertainment / media	39	70000	12	80000	43	
entertainment / media	40	45000	16	100000	36	
entertainment / media	41	100000	20	80000	31	
entertainment / media	42	90000	19	75000	21	
entertainment / media	43	70000	9	100000	26	
entertainment / media	44			80000	25	
entertainment / media	45	60000	5	30000	20	
entertainment / media	46			65000	6	
entertainment / media	47			40000	3	
entertainment / media	48	100000	4	95000	16	
entertainment / media	49			55000	11	
entertainment / media	50			80000	5	
entertainment / media	51			20000	8	
entertainment / media	52	80000	8			
entertainment / media	54	40000	2	20000	4	
entertainment / media	55	80000	3			
entertainment / media	57			100000	8	
entertainment / media	59			30000	5	
entertainment / media	60			75000	3	
entertainment / media	61			80000	1	
entertainment / media	63			100000	2	
entertainment / media	64	40000	3			
entertainment / media	65			40000	1	
entertainment / media	67	20000	1			
executive / management	19			35000	2	
executive / management	20			30000	4	
executive / management	21			30000	3	
executive / management	22	20000	5	40000	14	
executive / management	23	20000	8	50000	29	
executive / management	24	20000	11	80000	28	
executive / management	25			75000	48	
executive / management	26	50000	18	50000	60	
executive / management	27	50000	29	70000	58	
executive / management	28	50000	31	80000	77	
executive / management	29	55000	26	100000	70	
executive / management	30	80000	32	100000	93	
executive / management	31	100000	39	75000	77	
executive / management	32	60000	36	100000	91	
executive / management	33	100000	30	100000	73	
executive / management	34	90000	24	150000	65	
executive / management	35	150000	34	100000	61	
executive / management	36	80000	30	100000	66	
executive / management	37	70000	28	125000	63	
executive / management	38	100000	24	100000	68	
executive / management	39	100000	23	100000	39	
executive / management	40	90000	33	150000	51	
executive / management	41	65000	19	100000	53	
executive / management	42	150000	28	150000	40	
executive / management	43	150000	26	90000	37	
executive / management	44	80000	25	125000	38	
executive / management	45	100000	19	125000	38	
executive / management	46	125000	12	100000	28	
executive / management	47			125000	17	
executive / management	48	150000	11	100000	34	
executive / management	49	100000	24	125000	26	
executive / management	50	80000	12	40000	17	
executive / management	51	40000	5	150000	22	
executive / management	52	90000	11	200000	16	
executive / management	54	100000	10	125000	15	
executive / management	55			125000	12	
executive / management	56	80000	9	100000	7	
executive / management	57	100000	10	100000	13	
executive / management	58	100000	10	110000	10	
executive / management	59	80000	4	150000	8	
executive / management	60			250000	4	
executive / management	62			75000	9	
executive / management	63			150000	3	
executive / management	65			100000	2	
executive / management	66			150000	4	
executive / management	67	150000	3	100000	1	
executive / management	68	50000	1	50000	1	
hospitality / travel	19	20000	6			
hospitality / travel	20	20000	6	20000	12	
hospitality / travel	21	25000	20	20000	19	
hospitality / travel	22	20000	23	50000	17	
hospitality / travel	23	20000	35	25000	24	
hospitality / travel	24	20000	43	20000	39	
hospitality / travel	25	20000	38	40000	54	
hospitality / travel	26	55000	35	30000	58	
hospitality / travel	27	40000	55	30000	66	
hospitality / travel	28	30000	36	30000	56	
hospitality / travel	29	60000	39	40000	57	
hospitality / travel	30	30000	24	30000	53	
hospitality / travel	31	50000	24	35000	37	
hospitality / travel	32	40000	18	40000	35	
hospitality / travel	33	30000	20	40000	32	
hospitality / travel	34	40000	14	45000	24	
hospitality / travel	35	40000	15	30000	22	
hospitality / travel	36	50000	13	45000	26	
hospitality / travel	37	50000	11	40000	22	
hospitality / travel	38	50000	13	50000	17	
hospitality / travel	39			50000	15	
hospitality / travel	40			40000	8	
hospitality / travel	41	70000	13	65000	15	
hospitality / travel	42	70000	9	50000	12	
hospitality / travel	44	50000	3	75000	11	
hospitality / travel	45	50000	4	60000	9	
hospitality / travel	46	75000	4	60000	4	
hospitality / travel	47	40000	4	30000	5	
hospitality / travel	48	45000	3			
hospitality / travel	49	50000	2	80000	3	
hospitality / travel	50	50000	4	50000	7	
hospitality / travel	51	80000	2	80000	4	
hospitality / travel	54			30000	2	
hospitality / travel	55			20000	1	
hospitality / travel	56			40000	2	
hospitality / travel	62			40000	2	
hospitality / travel	63	60000	2			
law / legal services	20			80000	2	
law / legal services	22	40000	6	35000	11	
law / legal services	23	20000	16	30000	20	
law / legal services	24	30000	19	70000	18	
law / legal services	25	40000	32	70000	33	
law / legal services	26	55000	24	90000	37	
law / legal services	27	70000	40	80000	30	
law / legal services	28	60000	55	35000	51	
law / legal services	29	95000	39	70000	53	
law / legal services	30	100000	39	80000	50	
law / legal services	31	50000	43	150000	51	
law / legal services	32	100000	40	100000	40	
law / legal services	33	40000	22	100000	37	
law / legal services	34	55000	28	115000	33	
law / legal services	35	60000	16	70000	26	
law / legal services	36	90000	22	80000	14	
law / legal services	38	70000	20	100000	12	
law / legal services	39	60000	17	70000	22	
law / legal services	40	80000	11	100000	18	
law / legal services	41	40000	7	150000	22	
law / legal services	42	70000	21	100000	12	
law / legal services	43	70000	12			
law / legal services	44	70000	7	125000	13	
law / legal services	45			90000	6	
law / legal services	46	85000	8			
law / legal services	47	70000	4	100000	9	
law / legal services	48	70000	7	125000	9	
law / legal services	49	40000	8			
law / legal services	50	80000	3	80000	7	
law / legal services	51	80000	4			
law / legal services	52	70000	4	140000	8	
law / legal services	54	100000	5	70000	2	
law / legal services	56			80000	5	
law / legal services	57			80000	4	
law / legal services	58	65000	4	150000	6	
law / legal services	60			100000	5	
law / legal services	61			150000	3	
law / legal services	62			125000	5	
law / legal services	63			100000	3	
law / legal services	68			150000	2	
medicine / health	18			20000	1	
medicine / health	19			30000	7	
medicine / health	20	20000	9	20000	5	
medicine / health	21	20000	10	40000	25	
medicine / health	22	20000	24	30000	23	
medicine / health	23	40000	48	30000	39	
medicine / health	24	30000	61	30000	57	
medicine / health	25	35000	72	40000	72	
medicine / health	26	45000	95	40000	84	
medicine / health	27	50000	104	50000	91	
medicine / health	28	40000	110	75000	85	
medicine / health	29	50000	125	50000	84	
medicine / health	30	45000	128	80000	74	
medicine / health	31	40000	121	100000	71	
medicine / health	32	50000	114	60000	54	
medicine / health	33	90000	100	70000	75	
medicine / health	34	40000	69	55000	56	
medicine / health	35	80000	81	80000	41	
medicine / health	36	80000	77	85000	44	
medicine / health	37	60000	74	100000	43	
medicine / health	38	100000	60	75000	43	
medicine / health	39	80000	56	40000	41	
medicine / health	40	90000	47	70000	37	
medicine / health	41	70000	41	90000	35	
medicine / health	42	50000	57	90000	39	
medicine / health	43	75000	43	75000	27	
medicine / health	44	70000	30	80000	15	
medicine / health	45	75000	37	100000	21	
medicine / health	46	80000	31	100000	17	
medicine / health	47	75000	29	70000	22	
medicine / health	48	55000	24			
medicine / health	49	100000	23	50000	12	
medicine / health	50	60000	31	90000	14	
medicine / health	51	70000	18	85000	13	
medicine / health	52	80000	23	60000	6	
medicine / health	53	40000	12	80000	16	
medicine / health	54	90000	18	100000	14	
medicine / health	55	70000	31	165000	10	
medicine / health	56	80000	10	30000	8	
medicine / health	57	65000	23	60000	3	
medicine / health	58	100000	12	70000	7	
medicine / health	59	80000	15	100000	11	
medicine / health	60	70000	15	100000	6	
medicine / health	61	60000	15	85000	6	
medicine / health	62	100000	12	80000	8	
medicine / health	63	80000	13	80000	4	
medicine / health	64	100000	9	150000	2	
medicine / health	65	60000	7			
medicine / health	66	45000	7	80000	3	
medicine / health	67	30000	5	50000	2	
medicine / health	68	100000	3			
military	18			20000	6	
military	19			20000	4	
military	20			40000	5	
military	21	40000	2	40000	13	
military	22			35000	18	
military	23			30000	19	
military	24	30000	4	40000	24	
military	25	30000	4	30000	16	
military	26			40000	12	
military	27	250000	2	50000	14	
military	28			40000	6	
military	29			30000	8	
military	30			75000	4	
military	32			85000	4	
military	34			50000	5	
military	38			30000	2	
military	41			55000	3	
military	42			70000	2	
military	43			80000	1	
military	49			100000	3	
military	54			80000	1	
military	59			30000	1	
military	63			50000	1	
NA	18			20000	42	
NA	19			20000	72	
NA	20	20000	78			
NA	21	20000	111	150000	121	
NA	22	20000	156	40000	198	
NA	23	30000	193	40000	205	
NA	24	20000	246	75000	267	
NA	25	30000	261	90000	277	
NA	26			30000	319	
NA	27	60000	196	65000	294	
NA	28	40000	224	80000	291	
NA	29			60000	252	
NA	30	110000	196	80000	241	
NA	31	80000	167	80000	204	
NA	32	80000	146	80000	193	
NA	33	100000	119	50000	158	
NA	34	60000	114	90000	129	
NA	35	90000	107	100000	141	
NA	36	30000	83	125000	106	
NA	37	50000	84	70000	96	
NA	38	100000	66	90000	100	
NA	39	100000	66	100000	76	
NA	40	90000	54	100000	54	
NA	41	100000	39	100000	68	
NA	43	40000	46	95000	51	
NA	44			95000	47	
NA	45	60000	30	50000	42	
NA	46			20000	37	
NA	47	20000	28	40000	31	
NA	48			100000	31	
NA	49	80000	19	30000	24	
NA	50			75000	26	
NA	51			80000	21	
NA	52	60000	17			
NA	53			250000	18	
NA	54	60000	15			
NA	55			150000	17	
NA	56			70000	11	
NA	57	40000	9	20000	13	
NA	58	150000	10			
NA	59	70000	11			
NA	65			30000	4	
NA	68			100000	4	
other	18	20000	13	20000	17	
other	19	20000	33	20000	38	
other	20	20000	44	20000	69	
other	21	20000	76	20000	93	
other	22	20000	122	20000	131	
other	23	20000	173	20000	185	
other	24	20000	185	20000	253	
other	25	30000	205	30000	225	
other	26	20000	188	30000	246	
other	27	30000	195	30000	227	
other	28	30000	216	40000	229	
other	29	30000	179	30000	189	
other	30	40000	164	40000	202	
other	31	40000	153	40000	199	
other	32	40000	162	40000	155	
other	33	40000	148	40000	123	
other	34	40000	125	60000	122	
other	35	40000	108	40000	95	
other	36	40000	97	60000	105	
other	37	35000	77	60000	99	
other	38	40000	77	50000	77	
other	39	50000	85	45000	85	
other	40	55000	61	50000	80	
other	41	75000	61	50000	71	
other	42	60000	84	60000	69	
other	43	70000	62	40000	63	
other	44	55000	47	60000	44	
other	45	85000	30	70000	44	
other	46	80000	38	70000	41	
other	47	60000	35	40000	39	
other	48	40000	36	70000	34	
other	49	50000	36	60000	35	
other	50	30000	32	50000	34	
other	51	35000	32	40000	18	
other	52	80000	13	80000	22	
other	53			30000	15	
other	54	100000	12	70000	16	
other	55	70000	20	50000	15	
other	56	60000	22	65000	19	
other	57	80000	19	65000	23	
other	58	80000	16	75000	13	
other	59	35000	22	80000	18	
other	60	50000	19	35000	12	
other	61	60000	23	80000	14	
other	62	40000	12	50000	8	
other	63	50000	13	60000	13	
other	65	100000	13	45000	9	
other	66	60000	15	125000	4	
other	67	30000	6	100000	1	
other	69			80000	1	
political / government	19			20000	2	
political / government	20	20000	1	30000	3	
political / government	21	20000	3	30000	4	
political / government	22			40000	7	
political / government	23	20000	7			
political / government	24	20000	13	70000	16	
political / government	25	35000	15	60000	20	
political / government	26	40000	19	65000	18	
political / government	27	40000	12	50000	24	
political / government	28	75000	15	70000	38	
political / government	29	60000	16	45000	18	
political / government	30	20000	21	90000	24	
political / government	31	30000	13	70000	19	
political / government	32	60000	17	80000	19	
political / government	33	70000	6	50000	13	
political / government	34	90000	18	50000	16	
political / government	35	80000	14	65000	9	
political / government	36			70000	8	
political / government	37			75000	4	
political / government	38	50000	11	75000	12	
political / government	39	70000	7	70000	12	
political / government	40			100000	7	
political / government	41	80000	7	70000	13	
political / government	42	50000	6	100000	9	
political / government	43	70000	7	85000	8	
political / government	44			75000	3	
political / government	45	80000	5	70000	4	
political / government	46	80000	6	60000	4	
political / government	48	75000	4	100000	6	
political / government	49			85000	5	
political / government	50	60000	6	70000	7	
political / government	51	35000	3			
political / government	52			150000	5	
political / government	53	70000	2			
political / government	54			30000	5	
political / government	55			100000	4	
political / government	56			40000	2	
political / government	57			100000	5	
political / government	59	80000	2	90000	3	
political / government	61	80000	1	50000	2	
political / government	64	80000	2			
political / government	65	100000	1			
political / government	67	100000	1			
rather not say	19			20000	3	
rather not say	20	20000	3			
rather not say	21			30000	6	
rather not say	22	60000	8	35000	10	
rather not say	23	20000	10	55000	5	
rather not say	24			45000	16	
rather not say	25	20000	6	30000	14	
rather not say	26	60000	11			
rather not say	27			30000	16	
rather not say	28	40000	9	60000	19	
rather not say	29			20000	16	
rather not say	30	20000	4			
rather not say	31	20000	6	30000	10	
rather not say	32	20000	6	70000	10	
rather not say	33	40000	7	140000	11	
rather not say	34	30000	6			
rather not say	35			80000	6	
rather not say	36			80000	8	
rather not say	38	100000	4			
rather not say	39	20000	2	85000	9	
rather not say	40			150000	6	
rather not say	41			20000	6	
rather not say	42			50000	7	
rather not say	43			20000	2	
rather not say	45	40000	2	35000	6	
rather not say	47			80000	4	
rather not say	48			20000	1	
rather not say	50	80000	2	20000	4	
rather not say	52	70000	2			
rather not say	66			60000	1	
retired	24	20000	3			
retired	29			20000	5	
retired	35	20000	1			
retired	37			30000	1	
retired	39			20000	1	
retired	43			50000	1	
retired	47	20000	1	20000	1	
retired	51			100000	3	
retired	52	20000	1	30000	3	
retired	53	30000	2			
retired	55	40000	1			
retired	56			20000	4	
retired	57	20000	4	20000	4	
retired	58			40000	2	
retired	59	20000	5	55000	5	
retired	60	40000	5			
retired	61	70000	6	95000	7	
retired	62	30000	10	50000	7	
retired	63			40000	5	
retired	64			100000	8	
retired	65	30000	5	40000	4	
retired	66	60000	13			
retired	67	60000	5	80000	4	
retired	68	70000	8	20000	4	
sales / marketing / biz dev	18	20000	6	30000	3	
sales / marketing / biz dev	19	20000	9	20000	9	
sales / marketing / biz dev	20	40000	22	20000	34	
sales / marketing / biz dev	21	30000	24	20000	35	
sales / marketing / biz dev	22	20000	62	20000	50	
sales / marketing / biz dev	23	20000	73	30000	128	
sales / marketing / biz dev	24	30000	95	60000	156	
sales / marketing / biz dev	25	40000	118	40000	203	
sales / marketing / biz dev	26	30000	120	50000	182	
sales / marketing / biz dev	27	50000	130	60000	191	
sales / marketing / biz dev	28	40000	118	50000	163	
sales / marketing / biz dev	29	45000	88	75000	165	
sales / marketing / biz dev	30	40000	99	50000	154	
sales / marketing / biz dev	31	80000	81	70000	106	
sales / marketing / biz dev	32	70000	79	80000	123	
sales / marketing / biz dev	33	80000	77	80000	81	
sales / marketing / biz dev	34	80000	71	100000	69	
sales / marketing / biz dev	35	100000	70	70000	69	
sales / marketing / biz dev	36	80000	60	100000	54	
sales / marketing / biz dev	37	80000	51	80000	65	
sales / marketing / biz dev	38	50000	51	60000	49	
sales / marketing / biz dev	39	100000	39	90000	43	
sales / marketing / biz dev	40			90000	37	
sales / marketing / biz dev	41	115000	25	70000	30	
sales / marketing / biz dev	42	150000	33	100000	37	
sales / marketing / biz dev	43	90000	30	70000	27	
sales / marketing / biz dev	44	80000	25	90000	28	
sales / marketing / biz dev	45	150000	23	100000	24	
sales / marketing / biz dev	46	70000	25	150000	23	
sales / marketing / biz dev	47			165000	18	
sales / marketing / biz dev	48	100000	18	150000	11	
sales / marketing / biz dev	49	75000	14	75000	11	
sales / marketing / biz dev	50	100000	13	60000	8	
sales / marketing / biz dev	52	85000	14	100000	9	
sales / marketing / biz dev	53			100000	6	
sales / marketing / biz dev	54	80000	8	115000	6	
sales / marketing / biz dev	55	70000	13	80000	10	
sales / marketing / biz dev	56	90000	9	80000	5	
sales / marketing / biz dev	57	70000	10	150000	7	
sales / marketing / biz dev	58	80000	5	150000	7	
sales / marketing / biz dev	59			40000	7	
sales / marketing / biz dev	60	100000	8	40000	3	
sales / marketing / biz dev	61	150000	1	100000	9	
sales / marketing / biz dev	62	100000	6			
sales / marketing / biz dev	63	60000	7			
sales / marketing / biz dev	64			100000	2	
science / tech / engineering	19			20000	6	
science / tech / engineering	20			60000	14	
science / tech / engineering	21			35000	25	
science / tech / engineering	22	30000	26	30000	66	
science / tech / engineering	23	40000	41	60000	118	
science / tech / engineering	24	40000	61	70000	244	
science / tech / engineering	25	60000	60	70000	237	
science / tech / engineering	26	40000	83	80000	310	
science / tech / engineering	27	20000	71	80000	299	
science / tech / engineering	28	40000	65	90000	317	
science / tech / engineering	29	60000	65	100000	273	
science / tech / engineering	30	80000	63	80000	232	
science / tech / engineering	31	90000	58	100000	193	
science / tech / engineering	32	70000	60	80000	180	
science / tech / engineering	33	100000	48	100000	157	
science / tech / engineering	34	80000	37	100000	142	
science / tech / engineering	35	45000	38	100000	122	
science / tech / engineering	36	100000	24	100000	112	
science / tech / engineering	37	75000	28	80000	96	
science / tech / engineering	38	80000	27	80000	72	
science / tech / engineering	39			100000	77	
science / tech / engineering	40	80000	11	100000	64	
science / tech / engineering	41	90000	12	100000	53	
science / tech / engineering	42	75000	27	80000	47	
science / tech / engineering	43	100000	9	100000	36	
science / tech / engineering	44			100000	44	
science / tech / engineering	45			90000	33	
science / tech / engineering	46			80000	35	
science / tech / engineering	47			100000	25	
